order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year,line_id,order_key,return_status
IN-2011-33652,2011-01-03,2011-01-09,Standard Class,Dennis Pardue,Home Office,Sarawak,Malaysia,APAC,Southeast Asia,TEC-CO-10000594,Technology,Copiers,"Hewlett Fax and Copier, Laser",192.87,1,0.0,50.13,10.4,Medium,2011,14,APAC|IN-2011-33652,Not Returned
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,FUR-CH-10000214,Furniture,Chairs,"Hon Rocking Chair, Set of Two",159.444,2,0.4,-95.676,10.07,Low,2011,15,APAC|ID-2011-80230,Not Returned
MX-2011-160234,2011-01-03,2011-01-07,Standard Class,Stewart Visinsky,Consumer,Guatemala,Guatemala,LATAM,Central,TEC-PH-10002647,Technology,Phones,"Nokia Headset, VoIP",195.2,4,0.0,44.88,8.431000000000001,Medium,2011,16,LATAM|MX-2011-160234,Not Returned
IR-2011-770,2011-01-03,2011-01-07,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-BRE-10003081,Office Supplies,Appliances,"Breville Coffee Grinder, Black",122.58,2,0.0,42.900000000000006,8.41,Medium,2011,17,EMEA|IR-2011-770,Not Returned
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,TEC-AC-10002881,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth",69.3,2,0.4,3.4199999999999946,8.34,Low,2011,18,APAC|ID-2011-80230,Not Returned
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,FUR-CH-10000666,Furniture,Chairs,"SAFCO Chairmat, Black",68.868,2,0.4,-26.412000000000006,8.17,Low,2011,19,APAC|ID-2011-80230,Not Returned
ID-2011-12596,2011-01-03,2011-01-08,Standard Class,Chris McAfee,Consumer,Nakhon Ratchasima,Thailand,APAC,Southeast Asia,OFF-ST-10002066,Office Supplies,Storage,"Smead File Cart, Blue",135.1182,2,0.47000000000000003,-45.90180000000001,7.74,Medium,2011,20,APAC|ID-2011-12596,Not Returned
IN-2011-79397,2011-01-03,2011-01-03,Same Day,Kean Nguyen,Corporate,New South Wales,Australia,APAC,Oceania,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",35.883,3,0.1,4.743,7.46,Critical,2011,21,APAC|IN-2011-79397,Not Returned
IR-2011-7690,2011-01-03,2011-01-08,Second Class,Nat Gilpin,Corporate,Razavi Khorasan,Iran,EMEA,EMEA,OFF-BIC-10000582,Office Supplies,Art,"BIC Sketch Pad, Water Color",51.84,1,0.0,7.77,5.91,High,2011,22,EMEA|IR-2011-7690,Not Returned
IR-2011-770,2011-01-03,2011-01-07,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-ROG-10004393,Office Supplies,Storage,"Rogers Folders, Industrial",62.33999999999999,2,0.0,8.7,5.16,Medium,2011,23,EMEA|IR-2011-770,Not Returned
TZ-2011-7370,2011-01-03,2011-01-08,Standard Class,Jack Garza,Consumer,Dar Es Salaam,Tanzania,Africa,Africa,OFF-STI-10000388,Office Supplies,Supplies,"Stiletto Scissors, Serrated",81.24,4,0.0,26.759999999999998,5.11,Medium,2011,24,Africa|TZ-2011-7370,Not Returned
IZ-2011-4680,2011-01-03,2011-01-07,Standard Class,Lindsay Williams,Corporate,Ninawa,Iraq,EMEA,EMEA,OFF-CAM-10004338,Office Supplies,Envelopes,"Cameo Interoffice Envelope, Set of 50",47.43,1,0.0,17.07,3.57,High,2011,25,EMEA|IZ-2011-4680,Not Returned
IN-2011-65159,2011-01-03,2011-01-07,Second Class,Larry Blacks,Consumer,National Capital,Philippines,APAC,Southeast Asia,OFF-FA-10002569,Office Supplies,Fasteners,"Stockwell Staples, Metal",6.005999999999999,1,0.45,0.5460000000000003,0.8,High,2011,26,APAC|IN-2011-65159,Not Returned
IR-2011-770,2011-01-03,2011-01-07,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-ADV-10000213,Office Supplies,Fasteners,"Advantus Rubber Bands, Metal",16.71,1,0.0,4.17,0.54,Medium,2011,27,EMEA|IR-2011-770,Not Returned
MX-2011-111255,2011-01-04,2011-01-09,Second Class,Russell Applegate,Consumer,Parana,Brazil,LATAM,South,FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase, Pine",1648.44,6,0.0,609.8399999999999,109.12899999999999,Medium,2011,28,LATAM|MX-2011-111255,Not Returned
MX-2011-140641,2011-01-04,2011-01-09,Standard Class,Maya Herman,Corporate,Yucatán,Mexico,LATAM,North,TEC-AC-10001082,Technology,Accessories,"Enermax Keyboard, Bluetooth",222.56,4,0.0,13.280000000000001,42.279,High,2011,29,LATAM|MX-2011-140641,Not Returned
MX-2011-158771,2011-01-04,2011-01-11,Standard Class,Beth Thompson,Home Office,Granma,Cuba,LATAM,Caribbean,OFF-EN-10000857,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",185.76000000000002,6,0.0,3.6,16.394,Medium,2011,30,LATAM|MX-2011-158771,Not Returned
ES-2011-4939443,2011-01-04,2011-01-08,Standard Class,Arthur Prichep,Consumer,Rhône-Alpes,France,EU,Central,OFF-AR-10001546,Office Supplies,Art,"Binney & Smith Sketch Pad, Easy-Erase",139.76999999999998,3,0.0,20.879999999999995,10.78,Medium,2011,31,EU|ES-2011-4939443,Not Returned
MX-2011-111255,2011-01-04,2011-01-09,Second Class,Russell Applegate,Consumer,Parana,Brazil,LATAM,South,OFF-SU-10003629,Office Supplies,Supplies,"Fiskars Letter Opener, Easy Grip",148.95999999999998,8,0.0,28.160000000000004,10.383,Medium,2011,32,LATAM|MX-2011-111255,Not Returned
MX-2011-140641,2011-01-04,2011-01-09,Standard Class,Maya Herman,Corporate,Yucatán,Mexico,LATAM,North,TEC-CO-10002998,Technology,Copiers,"Sharp Ink, Laser",165.54824,2,0.002,49.42824,9.536,High,2011,33,LATAM|MX-2011-140641,Not Returned
US-2011-136007,2011-01-04,2011-01-11,Standard Class,Beth Thompson,Home Office,Alagoas,Brazil,LATAM,South,OFF-EN-10004956,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",74.304,6,0.6,-107.85600000000002,7.042,Medium,2011,34,LATAM|US-2011-136007,Not Returned
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,FUR-CH-10004827,Furniture,Chairs,"SAFCO Chairmat, Black",38.260000000000005,1,0.0,6.88,4.253,Medium,2011,35,LATAM|MX-2011-159373,Not Returned
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,TEC-AC-10003081,Technology,Accessories,"Memorex Mouse, USB",37.83999999999999,2,0.0,2.2399999999999998,3.937,Medium,2011,36,LATAM|MX-2011-159373,Not Returned
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,OFF-EN-10002816,Office Supplies,Envelopes,"Kraft Peel and Seal, Recycled",38.58,3,0.0,7.6800000000000015,3.5140000000000002,Medium,2011,37,LATAM|MX-2011-159373,Not Returned
IT-2011-2942451,2011-01-04,2011-01-09,Standard Class,Grant Thornton,Corporate,England,United Kingdom,EU,North,OFF-AR-10002485,Office Supplies,Art,"Boston Markers, Easy-Erase",26.64,2,0.5,-21.9,2.11,Medium,2011,38,EU|IT-2011-2942451,Not Returned
CA-2011-103800,2011-01-04,2011-01-08,Standard Class,Darren Powers,Consumer,Texas,United States,US,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.551199999999998,1.82,High,2011,39,US|CA-2011-103800,Not Returned
IN-2011-33036,2011-01-04,2011-01-08,Standard Class,Bradley Drucker,Consumer,Tottori,Japan,APAC,North Asia,OFF-LA-10000784,Office Supplies,Labels,"Harbour Creations File Folder Labels, 5000 Label Set",27.360000000000003,3,0.0,13.680000000000001,1.54,Medium,2011,40,APAC|IN-2011-33036,Not Returned
IT-2011-2942451,2011-01-04,2011-01-09,Standard Class,Grant Thornton,Corporate,England,United Kingdom,EU,North,OFF-ST-10001426,Office Supplies,Storage,"Eldon Folders, Single Width",17.009999999999998,2,0.5,-1.0499999999999972,0.9,Medium,2011,41,EU|IT-2011-2942451,Not Returned
SU-2011-5190,2011-01-04,2011-01-08,Standard Class,Jasper Cacioppo,Consumer,Khartoum,Sudan,Africa,Africa,OFF-BOS-10004950,Office Supplies,Art,"Boston Pens, Fluorescent",15.48,1,0.0,2.61,0.82,Medium,2011,42,Africa|SU-2011-5190,Not Returned
SU-2011-5190,2011-01-04,2011-01-08,Standard Class,Jasper Cacioppo,Consumer,Khartoum,Sudan,Africa,Africa,OFF-AVE-10003279,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",5.91,1,0.0,2.0999999999999996,0.51,Medium,2011,43,Africa|SU-2011-5190,Not Returned
MX-2011-109267,2011-01-05,2011-01-09,Standard Class,Jennifer Halladay,Consumer,Veracruz,Mexico,LATAM,North,OFF-AP-10004245,Office Supplies,Appliances,"Hoover Stove, Black",3028.8,8,0.0,999.36,191.201,Medium,2011,44,LATAM|MX-2011-109267,Not Returned
ES-2011-3848439,2011-01-05,2011-01-07,First Class,Michael Granlund,Home Office,Rhône-Alpes,France,EU,Central,OFF-AR-10001291,Office Supplies,Art,"Sanford Canvas, Fluorescent",207.12,4,0.0,76.56,20.64,Medium,2011,45,EU|ES-2011-3848439,Not Returned
ES-2011-3848439,2011-01-05,2011-01-07,First Class,Michael Granlund,Home Office,Rhône-Alpes,France,EU,Central,OFF-AR-10000833,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",89.55,3,0.0,20.52,15.27,Medium,2011,46,EU|ES-2011-3848439,Not Returned
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.77480000000001,13.59,High,2011,47,US|CA-2011-112326,Not Returned
IN-2011-27681,2011-01-05,2011-01-11,Standard Class,Shaun Weien,Consumer,Taipei City,Taiwan,APAC,North Asia,FUR-FU-10000394,Furniture,Furnishings,"Rubbermaid Photo Frame, Durable",48.779999999999994,1,0.0,22.919999999999998,5.82,Low,2011,48,APAC|IN-2011-27681,Not Returned
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.271699999999999,0.99,High,2011,49,US|CA-2011-112326,Not Returned
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.539999999999999,2,0.8,-5.487,0.55,High,2011,50,US|CA-2011-112326,Not Returned
ES-2011-5496179,2011-01-06,2011-01-09,Second Class,Shahid Hopkins,Consumer,Ile-de-France,France,EU,Central,FUR-FU-10000468,Furniture,Furnishings,"Advantus Frame, Durable",324.45000000000005,3,0.0,35.64,39.98,High,2011,51,EU|ES-2011-5496179,Not Returned
IN-2011-29963,2011-01-06,2011-01-10,Standard Class,Brosina Hoffman,Consumer,Sumatera Barat,Indonesia,APAC,Southeast Asia,OFF-ST-10000344,Office Supplies,Storage,"Fellowes Box, Industrial",50.19840000000001,3,0.17,6.008399999999996,6.2,High,2011,52,APAC|IN-2011-29963,Not Returned
ID-2011-41632,2011-01-06,2011-01-13,Standard Class,Robert Dilbeck,Home Office,Ho Chí Minh City,Vietnam,APAC,Southeast Asia,OFF-ST-10001631,Office Supplies,Storage,"Tenex Trays, Blue",89.98859999999999,2,0.17,29.268600000000003,3.62,Medium,2011,53,APAC|ID-2011-41632,Not Returned
IN-2011-29963,2011-01-06,2011-01-10,Standard Class,Brosina Hoffman,Consumer,Sumatera Barat,Indonesia,APAC,Southeast Asia,OFF-FA-10000549,Office Supplies,Fasteners,"Advantus Staples, Metal",40.735800000000005,7,0.47000000000000003,-27.0942,2.63,High,2011,54,APAC|IN-2011-29963,Not Returned
ID-2011-41632,2011-01-06,2011-01-13,Standard Class,Robert Dilbeck,Home Office,Ho Chí Minh City,Vietnam,APAC,Southeast Asia,OFF-PA-10003407,Office Supplies,Paper,"Enermax Memo Slips, Recycled",38.7693,3,0.17,11.589300000000001,2.45,Medium,2011,55,APAC|ID-2011-41632,Not Returned
AO-2011-4910,2011-01-06,2011-01-11,Standard Class,Grace Kelly,Corporate,Luanda,Angola,Africa,Africa,TEC-LOG-10003079,Technology,Accessories,"Logitech Flash Drive, Erganomic",28.32,1,0.0,12.72,2.0,Medium,2011,56,Africa|AO-2011-4910,Not Returned
IN-2011-76107,2011-01-06,2011-01-10,Standard Class,Khloe Miller,Consumer,Jilin,China,APAC,North Asia,OFF-EN-10002166,Office Supplies,Envelopes,"Cameo Manila Envelope, with clear poly window",30.54,1,0.0,13.11,1.96,High,2011,57,APAC|IN-2011-76107,Not Returned
CA-2011-141817,2011-01-06,2011-01-13,Standard Class,Mick Brown,Consumer,Pennsylvania,United States,US,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884,1.85,Low,2011,58,US|CA-2011-141817,Not Returned
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0.0,746.4077999999997,258.99,High,2011,59,US|CA-2011-167199,Not Returned
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.491,88.07,High,2011,60,US|CA-2011-167199,Not Returned
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0.0,113.67419999999998,62.37,High,2011,61,US|CA-2011-167199,Not Returned
MZ-2011-1260,2011-01-07,2011-01-10,First Class,Stewart Visinsky,Consumer,Niassa,Mozambique,Africa,Africa,OFF-ELD-10001694,Office Supplies,Storage,"Eldon File Cart, Single Width",255.84,2,0.0,46.019999999999996,52.46,High,2011,62,Africa|MZ-2011-1260,Not Returned
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-MA-10000868,Technology,Machines,"Panasonic Phone, Wireless",445.41,7,0.25,-136.71,46.97,High,2011,63,APAC|ID-2011-58670,Not Returned
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-AC-10003413,Technology,Accessories,"Logitech Router, Programmable",273.702,2,0.45,-44.837999999999965,42.19,High,2011,64,APAC|ID-2011-58670,Not Returned
ES-2011-5433855,2011-01-07,2011-01-08,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,EU,Central,OFF-ST-10004855,Office Supplies,Storage,"Smead Lockers, Industrial",716.04,4,0.1,143.15999999999997,32.46,Medium,2011,65,EU|ES-2011-5433855,Not Returned
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-MA-10004482,Technology,Machines,"Panasonic Card Printer, White",387.51750000000004,3,0.25,25.807499999999976,26.2,High,2011,66,APAC|ID-2011-58670,Not Returned
LE-2011-9590,2011-01-07,2011-01-11,Standard Class,Harry Marie,Corporate,Beirut,Lebanon,EMEA,EMEA,TEC-HP -10000464,Technology,Copiers,"HP Fax and Copier, Color",174.32999999999998,1,0.0,71.46000000000001,23.84,High,2011,67,EMEA|LE-2011-9590,Not Returned
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0.0,204.1092,13.82,High,2011,68,US|CA-2011-167199,Not Returned
MZ-2011-1260,2011-01-07,2011-01-10,First Class,Stewart Visinsky,Consumer,Niassa,Mozambique,Africa,Africa,OFF-STA-10004885,Office Supplies,Art,"Stanley Sketch Pad, Easy-Erase",44.7,1,0.0,8.49,13.7,High,2011,69,Africa|MZ-2011-1260,Not Returned
ES-2011-5433855,2011-01-07,2011-01-08,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,EU,Central,OFF-FA-10002071,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes",33.39,3,0.0,2.25,9.73,Medium,2011,70,EU|ES-2011-5433855,Not Returned
ES-2011-5433855,2011-01-07,2011-01-08,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,EU,Central,FUR-BO-10000265,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",155.358,1,0.1,36.227999999999994,5.72,Medium,2011,71,EU|ES-2011-5433855,Not Returned
CA-2011-130813,2011-01-07,2011-01-09,Second Class,Lycoris Saunders,Consumer,California,United States,US,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0.0,9.3312,4.37,High,2011,72,US|CA-2011-130813,Not Returned
AG-2011-7230,2011-01-07,2011-01-11,Standard Class,Alyssa Crouse,Corporate,Alger,Algeria,Africa,Africa,OFF-STA-10000244,Office Supplies,Art,"Stanley Sketch Pad, Fluorescent",91.38,2,0.0,14.580000000000002,4.36,Medium,2011,73,Africa|AG-2011-7230,Not Returned
MX-2011-135629,2011-01-07,2011-01-07,Same Day,Dorothy Dickinson,Consumer,São Paulo,Brazil,LATAM,South,OFF-FA-10001871,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack",43.04,4,0.0,6.0,3.937,High,2011,74,LATAM|MX-2011-135629,Not Returned
MX-2011-135629,2011-01-07,2011-01-07,Same Day,Dorothy Dickinson,Consumer,São Paulo,Brazil,LATAM,South,OFF-BI-10000136,Office Supplies,Binders,"Ibico Index Tab, Durable",18.54,3,0.0,2.4,3.694,High,2011,75,LATAM|MX-2011-135629,Not Returned
CA-2011-106054,2011-01-07,2011-01-08,First Class,Jack O'Briant,Corporate,Georgia,United States,US,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.0,5.2398,3.51,Critical,2011,76,US|CA-2011-106054,Not Returned
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,OFF-AR-10003684,Office Supplies,Art,"BIC Sketch Pad, Fluorescent",27.456000000000003,1,0.45,-4.494000000000003,3.21,High,2011,77,APAC|ID-2011-58670,Not Returned
LE-2011-9590,2011-01-07,2011-01-11,Standard Class,Harry Marie,Corporate,Beirut,Lebanon,EMEA,EMEA,FUR-ADV-10000847,Furniture,Furnishings,"Advantus Stacking Tray, Black",26.43,1,0.0,7.38,2.88,High,2011,78,EMEA|LE-2011-9590,Not Returned
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.0,0.3111999999999995,2.19,High,2011,79,US|CA-2011-167199,Not Returned
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.0,3.0084,1.13,High,2011,80,US|CA-2011-167199,Not Returned
ID-2011-28752,2011-01-07,2011-01-12,Standard Class,Adam Bellavance,Home Office,Singapore,Singapore,APAC,Southeast Asia,OFF-LA-10002875,Office Supplies,Labels,"Novimex Shipping Labels, Adjustable",17.759999999999998,2,0.0,5.46,0.89,Medium,2011,81,APAC|ID-2011-28752,Not Returned
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.4796000000000005,0.52,High,2011,82,US|CA-2011-167199,Not Returned
IT-2011-5134922,2011-01-07,2011-01-10,First Class,Joy Smith,Consumer,Groningen,Netherlands,EU,Central,OFF-AR-10000316,Office Supplies,Art,"Stanley Pens, Blue",5.025,1,0.5,-0.10500000000000043,0.28,Medium,2011,83,EU|IT-2011-5134922,Not Returned
AO-2011-1670,2011-01-08,2011-01-13,Standard Class,Henia Zydlo,Consumer,Benguela,Angola,Africa,Africa,FUR-IKE-10001539,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",2478.6,6,0.0,49.5,349.87,High,2011,84,Africa|AO-2011-1670,Not Returned
IN-2011-19330,2011-01-08,2011-01-12,Second Class,Nicole Fjeld,Home Office,Yunnan,China,APAC,North Asia,TEC-MA-10002468,Technology,Machines,"Panasonic Inkjet, White",2173.5000000000005,7,0.0,260.82,275.52,Medium,2011,85,APAC|IN-2011-19330,Not Returned
IT-2011-4546695,2011-01-08,2011-01-14,Standard Class,Darren Powers,Consumer,Midi-Pyrénées,France,EU,Central,FUR-BO-10003103,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",986.904,6,0.6,-1011.6359999999997,65.64,Medium,2011,86,EU|IT-2011-4546695,Not Returned
MX-2011-121202,2011-01-08,2011-01-13,Second Class,Christopher Martinez,Consumer,Guatemala,Guatemala,LATAM,Central,OFF-ST-10002471,Office Supplies,Storage,"Smead Lockers, Single Width",396.8999999999999,3,0.0,182.51999999999998,33.671,Medium,2011,87,LATAM|MX-2011-121202,Not Returned
CA-2011-105417,2011-01-08,2011-01-13,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,US,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.72800000000001,3,0.6,-53.70959999999999,6.69,Medium,2011,88,US|CA-2011-105417,Not Returned
MX-2011-121202,2011-01-08,2011-01-13,Second Class,Christopher Martinez,Consumer,Guatemala,Guatemala,LATAM,Central,OFF-BI-10002937,Office Supplies,Binders,"Wilson Jones Binder Covers, Clear",49.7,7,0.0,20.3,5.656000000000001,Medium,2011,89,LATAM|MX-2011-121202,Not Returned
IT-2011-4546695,2011-01-08,2011-01-14,Standard Class,Darren Powers,Consumer,Midi-Pyrénées,France,EU,Central,OFF-AR-10000110,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",115.8,5,0.5,-55.65,3.91,Medium,2011,90,EU|IT-2011-4546695,Not Returned
NI-2011-4770,2011-01-08,2011-01-11,Second Class,Joe Elijah,Consumer,Lagos,Nigeria,Africa,Africa,OFF-AVE-10000608,Office Supplies,Binders,"Avery Index Tab, Economy",4.698,2,0.7,-4.542,0.82,High,2011,91,Africa|NI-2011-4770,Not Returned
